#小鹤音形文本码表for PC搜狗拼音自定义短语
#用户许可协议：
#1.何海峰为“小鹤双拼、小鹤音形”输入方案的作者。
#2.本码表受著作权保护，只限您私人使用，不得修改和发布。
#3.未经授权，不得将本码表用于商业用途。
#著作权人：何海峰
#官方网站：flypy.com   QQ群：182883808
#本表贴入搜狗拼音自定义短语使用
jike,1=即可
mkvi,1=明智
mkvs,1=命中
mkvu,1=明珠
mkww,1=名为
mkwu,1=明悟
mkwf,1=明文
mkwh,1=名望
mkwj,1=明晚
mkxi,1=明细
mkxk,1=明星
mkxl,1=冥想
mkxm,1=明显
mkxn,1=名校
mkxp,1=鸣谢
mkxx,1=名下
mkyi,1=名义
mkyj,1=名言
mkyq,1=目空一切
mkyt,1=明月
mkyu,1=名誉
mkyx,1=每况愈下
mkyy,1=命运
mkzi,1=名字
mkzc,1=明早
mkzk,1=免开尊口
mkzo,1=名作
mlbu,1=名列榜首
mlcv,1=绵里藏针
mldc,1=没料到
mldj,1=没来得及
mldr,1=美丽动人
mlg,1=买了个
mlge,1=摩洛哥
mlhx,1=茉莉花
mlhi,1=茉莉花茶
mlih,1=名利场
mljm,1=美利坚
mlkd,1=鸣锣开道
mllv,1=毛利率
mllk,1=模棱两可
mlmo,1=摸了摸
mlmu,1=没老没少
mlmz,1=抿了抿嘴
mlmy,1=眯了眯眼
mlmh,1=美轮美奂
mlns,1=面露难色
mlq,1=买路钱
mlqm,1=名列前茅
mlqs,1=毛里求斯
mlqu,1=名留青史
mlss,1=马拉松
mlsu,1=魅力四射
mlt,1=麻辣烫
mltx,1=忙里偷闲
mlty,1=蜜里调油
mlth,1=满脸通红
mlu,1=马铃薯
mluu,1=名利双收
mlve,1=面临着
mlvv,1=米粒之珠
mlvh,1=米粒之珠，也放光华
mlvj,1=弥留之际
mlvy,1=马列主义
mlww,1=马拉维
mlxy,1=马来西亚
mlxg,1=目露凶光
mlyz,1=没理由
mlya,1=马来亚
mlyh,1=睦邻友好
mlyq,1=眉来眼去
mlzu,1=仫佬族
mllx,1=马里兰大学
mmao,1=棉袄
mmbd,1=没明白
mmbb,1=明明白白
mmbc,1=面包
mmbi,1=面壁
mmbj,1=面板
mmbl,1=闷闷不乐
mmbo,1=绵薄
mmbr,1=麻木不仁
mmbu,1=面部
mmbw,1=棉被
mmbz,1=买卖不成仁义在
mmcc,1=磨磨蹭蹭
mmde,1=免得
mmdv,1=面对
mmdm,1=缅甸
mmdh,1=茫茫大海
mmdt,1=冒名顶替
mmee,1=面额
mmel,1=慕名而来
mmfw,1=免费
mmfd,1=名目繁多
mmff,1=面粉
mmfh,1=棉纺
mmgf,1=绵亘
mmgx,1=名门闺秀
mmgr,1=面馆
mmhh,1=马马虎虎
mmhg,1=满面红光
mmhi,1=明眸皓齿
mmhk,1=缅怀
mmhq,1=脉脉含情
mmhu,1=面糊
mmhv,1=眉毛胡子一把抓
mmhx,1=棉花
mmis,1=毛毛虫
mmif,1=面陈
mmig,1=面呈
mmih,1=绵长
mmiq,1=眉目传情
mmiu,1=免除
mmiy,1=满目疮痍
mmiv,1=美梦成真
mmji,1=面积
mmjd,1=面面俱到
mmjj,1=磨磨叽叽
mmjl,1=美妙绝伦
mmjm,1=免检
mmju,1=面具
mmjx,1=面颊
mmks,1=面孔
mmku,1=棉裤
mmkz,1=面目可憎
mmlb,1=面临
mmld,1=慢慢来
mmle,1=免了
mmli,1=勉励
mmln,1=面料
mmlu,1=面露
mmmc,1=面貌
mmmd,1=买买买
mmmi,1=绵密
mmmm,1=密密麻麻
mmmo,1=面膜
mmmu,1=面目
mmmz,1=某某某
mmph,1=面庞
mmpc,1=棉袍
mmpi,1=面皮
mmpn,1=免票
mmqm,1=面前
mmql,1=勉强
mmqf,1=面目全非
mmqq,1=棉球
mmqu,1=免去
mmqx,1=面洽
mmqi,1=明末清初
mmrs,1=面容
mmrh,1=貌美如花
mmrr,1=绵软
mmse,1=面色
mmsq,1=孟母三迁
mmsu,1=免俗
mmth,1=面汤
mmti,1=免提
mmtj,1=面谈
mmtm,1=腼腆
mmtn,1=面条
mmtr,1=面团
mmtx,1=名满天下
mmui,1=面试
mmua,1=面纱
mmug,1=面生
mmuj,1=面善
mmul,1=面霜
mmuu,1=面熟
mmuv,1=免税
mmu,1=明明是
mmuz,1=免受
mmv,1=每秒钟
mmvc,1=面罩
mmvd,1=明目张胆
mmvg,1=免征
mmvi,1=面值
mmvq,1=明媒正娶
mmvu,1=绵竹
mmvv,1=冥冥之中
mmvy,1=靡靡之音
mmw,1=命名为
mmwu,1=默默无声
mmwv,1=蒙昧无知
mmww,1=默默无闻
mmwy,1=默默无言
mmwz,1=名门望族
mmxl,1=面向
mmxi,1=免息
mmxm,1=棉线
mmxp,1=棉鞋
mmxq,1=面面相觑
mmxu,1=棉絮
mmxy,1=蒙蒙细雨
mmy,1=毛毛雨
mmyh,1=绵阳
mmyi,1=免疫
mmyj,1=绵延
mmyq,1=梦寐以求
mmyu,1=免于
mmyy,1=慢慢悠悠
mmze,1=免责
mmzi,1=面子
mmzv,1=免罪
mmzc,1=免遭
mnbn,1=秒表
mnbi,1=妙笔
mnfa,1=妙法
mnfh,1=妙方
mngy,1=木讷寡言
mnge,1=摩纳哥
mnhw,1=慕尼黑
mnhu,1=没那回事
mnhv,1=描绘
mnhx,1=描画
mniu,1=妙处
mnji,1=妙计
mnla,1=马尼拉
mnlk,1=妙龄
mnlu,1=蒙娜丽莎
mnly,1=妙论
mnlm,1=木牛流马
mnmh,1=渺茫
mnmo,1=描摹
mnmw,1=描眉
mnmy,1=某年某月
mnmr,1=某年某月某日
mnpu,1=苗圃
mnqu,1=妙趣
mntn,1=苗条
mnth,1=庙堂
mntu,1=描图
mntz,1=苗头
mnua,1=秒杀
mnui,1=藐视
mnuu,1=描述
mnuz,1=妙手
mnvy,1=瞄准
mnvc,1=妙招
mnve,1=瞄着
mnvf,1=秒针
mnvj,1=莫逆之交
mnvs,1=秒钟
mnwf,1=妙文
mnxp,1=描写
mnxn,1=渺小
mnyi,1=木乃伊
mnys,1=妙用
mnyn,1=卖男鬻女
mnzd,1=妙哉
mnzi,1=苗子
mnzu,1=苗族
moai,1=默哀
mobc,1=墨宝
mobj,1=末班
mobd,1=膜拜
mobu,1=莫不
moca,1=摩擦
moce,1=莫测
mocg,1=磨蹭
moda,1=莫大
modc,1=磨刀
modd,1=末代
modg,1=摩登
modi,1=摸底
modk,1=没顶
modn,1=抹掉
modr,1=末端
modu,1=默读
moer,1=摩尔
mofa,1=魔法
mofh,1=模仿
mofj,1=模范
mofw,1=莫非
mogf,1=摩根
mogl,1=磨光
mogu,1=蘑菇
mogv,1=魔鬼
mohe,1=磨合
mohr,1=魔幻
mohu,1=模糊
mohw,1=抹黑
moiu,1=摸出
moia,1=抹茶
moji,1=磨叽
mojk,1=墨镜
mojn,1=魔教
mojp,1=摩羯
mokk,1=模块
moku,1=魔窟
moli,1=魔力
molm,1=磨炼
moln,1=末了
molo,1=没落
molq,1=末流
molu,1=末路
molv,1=墨绿
momk,1=莫名
momm,1=磨面
momo,1=默默
momp,1=磨灭
moni,1=模拟
monj,1=磨难
monm,1=末年
monv,1=魔女
mopd,1=摸排
moqi,1=默契
moqk,1=摸清
moqu,1=抹去
morf,1=默认
mori,1=末日
morj,1=蓦然
moro,1=莫若
moso,1=摸索
moss,1=默诵
mosv,1=磨碎
mosy,1=磨损
mote,1=模特
motm,1=摩天
moto,1=摩托
motz,1=摸透
moua,1=抹杀
mouc,1=末梢
moug,1=陌生
moui,1=模式
mouu,1=魔术
mouv,1=墨水
mouz,1=没收
movc,1=魔爪
move,1=摸着
movh,1=魔掌
movi,1=墨汁
movy,1=摸准
movg,1=魔怔
movz,1=魔咒
mowh,1=魔王
moww,1=末尾
moxk,1=模型
moxp,1=默写
moxu,1=默许
moya,1=磨牙
mpdk,1=灭顶
mpgd,1=摸爬滚打
mph,1=冒牌货
mpho,1=灭火
mpis,1=灭虫
mpjt,1=灭绝
mpji,1=灭迹
mpju,1=满盘皆输
mpkz,1=灭口
mpmf,1=灭门
mpth,1=孟婆汤
mpui,1=蔑视
mpua,1=灭杀
mpvs,1=灭种
mpwh,1=灭亡
mpzu,1=灭族
mpzg,1=母凭子贵
mpdx,1=名牌大学
mqaj,1=明枪暗箭
mqbl,1=牟取暴利
mqcv,1=摩拳擦掌
mqdy,1=马其顿
mqgo,1=没去过
mqgd,1=明确规定
mqgv,1=密切关注
mqhu,1=妙趣横生
mqle,1=没钱了
mqly,1=谬论
mqlx,1=密切联系
mqmy,1=美其名曰
mqmx,1=眉清目秀
mqri,1=满腔热忱
mqsl,1=谋取私利
mqsx,1=麻雀虽小
mqsq,1=麻雀虽小，五脏俱全
mqwu,1=谬误
mqwv,1=目前为止
mqww,1=明确无误
mqxk,1=明确性
mqxz,1=马前小卒
mqxg,1=密切相关
mqyd,1=明枪易躲
mqzc,1=煤气灶
mqzu,1=马前卒
mrbh,1=明人不说暗话
mrbu,1=明人不做暗事
mrbv,1=盲人把烛
mrbz,1=骂人不带脏字
mrgy,1=美如冠玉
mrhh,1=明日黄花
mrhu,1=蓦然回首
mrim,1=美人迟暮
mrji,1=美人计
mrli,1=没人理
mrlc,1=没人理睬
mrmy,1=没日没夜
mrmx,1=盲人摸象
mrqm,1=盲人骑瞎马
mrrs,1=毛茸茸
mrtx,1=貌若天仙
mrth,1=面如桃花
mrts,1=面如土色
mrwc,1=茫然无措
mrvv,1=漠然置之
mrxk,1=没人性
msbk,1=莫桑比克
msdk,1=茅塞顿开
msk,1=马赛克
mske,1=莫斯科
mskx,1=冥思苦想
msww,1=没所谓
mslb,1=穆斯林
mszj,1=毛遂自荐
mtdh,1=满头大汗
mtdz,1=弥天大罪
mtdi,1=命途多舛
mtf,1=满天飞
mtgo,1=没听过
mtgh,1=瞒天过海
mtgu,1=莫谈国事
mths,1=满堂红
mtie,1=摩托车
mtjm,1=没听见
mtkg,1=埋头苦干
mtly,1=摩天轮
mtll,1=门庭冷落
mtlm,1=马蹄莲
mtlo,1=曼陀罗
mtmn,1=没头没脑
mtqi,1=蒙太奇
mtru,1=门庭若市
mtsl,1=慢条斯理
mtty,1=慢吞吞
mtuo,1=没听说
mtug,1=没听说过
mtvf,1=迷途知返
mtxk,1=满天星
mtxd,1=满天星斗
mtxw,1=冒天下之大不韪
mtyk,1=猫头鹰
mtyj,1=漫天要价
muai,1=母爱
mubf,1=木本
mubh,1=木棒
mubj,1=模板
mubn,1=目标
mubu,1=幕布
mubw,1=墓碑
muby,1=漫山遍野
mubq,1=马善被人骑
mucc,1=牧草
mucd,1=木材
muce,1=目测
mudi,1=目的
mudj,1=牡丹
mudn,1=木雕
mudu,1=目睹
mudv,1=名声大振
mue,1=没事儿
muer,1=木耳
mufa,1=木筏
mufl,1=名士风流
mug,1=没事干
mugj,1=名胜古迹
mugl,1=目光
mugu,1=募股
mugx,1=木瓜
mugy,1=木棍
mugz,1=母狗
muhi,1=妙手回春
muhz,1=幕后
muih,1=牧场
muid,1=木柴
muig,1=墨守成规
muij,1=亩产
muir,1=木船
muit,1=名师出高徒
muiy,1=暮春
muji,1=母鸡
mujr,1=募捐
muju,1=模具
mujl,1=木匠
mujy,1=面授机宜
muke,1=木刻
mukk,1=妙手空空
mulu,1=目录
mulb,1=睦邻
muld,1=玛莎拉蒂
muli,1=牡蛎
muln,1=木料
mulg,1=麻省理工
muma,1=木马
mumb,1=牧民
mumi,1=马瘦毛长
mumj,1=毛手毛脚
mumk,1=慕名
mune,1=木讷
munf,1=名实难副
munm,1=暮年
munq,1=母牛
munv,1=母女
muod,1=妙手偶得
muou,1=木偶
mupd,1=木牌
mupm,1=木片
muqb,1=母亲
muqm,1=目前
muqn,1=木桥
muqq,1=暮秋
muqt,1=马失前蹄
muqu,1=牧区
muqx,1=瞒上欺下
murf,1=陌生人
murj,1=木然
murs,1=慕容
muru,1=母乳
murx,1=妙手仁心
muse,1=暮色
muss,1=目送
mutz,1=木头
muti,1=母体
mutj,1=木炭
mutk,1=卖身投靠
muts,1=木桶
mutl,1=没事偷着乐
muui,1=目视
muuv,1=马首是瞻
muvi,1=拇指
muvl,1=木桩
muvu,1=母猪
muwu,1=木屋
muwg,1=面上无光
muxn,1=母校
muxi,1=母系
muxk,1=木星
muxl,1=木箱
muxp,1=木屑
muxr,1=目眩
muxt,1=墓穴
muxx,1=木匣
muyh,1=模样
muye,1=木业
muyk,1=母婴
muyr,1=墓园
muyu,1=沐浴
muzi,1=母子
muzh,1=墓葬
muzr,1=谋事在人
muzt,1=谋事在人，成事在天
muzw,1=名声在外
mulx,1=麻省理工大学
mvat,1=明珠暗投
mvad,1=明争暗斗
mver,1=没准儿
mvb,1=门诊部
mvbu,1=明哲保身
mvbz,1=美中不足
mvdc,1=没找到
mvd,1=明知道
mvdp,1=民主党派
mvdx,1=明正典刑
mvgw,1=明知故问
mvgf,1=明知故犯
mvhx,1=民主化
mvhu,1=没这回事
mvju,1=民政局
mvlv,1=命中率
mvlx,1=昧着良心
mvme,1=没这么
mvlu,1=猫捉老鼠
mvmg,1=民脂民膏
mvmk,1=墓志铭
mvqr,1=梦中情人
mvsy,1=满招损，谦受益
mvtx,1=名震天下
mvu,1=摸着石头过河
mvuh,1=明知山有虎
mvux,1=明知山有虎，偏向虎山行
mvvc,1=没找着
mvvd,1=命中注定
mvvj,1=明智之举
mvwh,1=没指望
mvwg,1=墨汁未干
mvwr,1=目中无人
mvyi,1=没注意
mvyu,1=名正言顺
mwbd,1=美白
mwbq,1=面无表情
mwbj,1=漫无边际
mwbk,1=没病
mwbl,1=冥顽不灵
mwbm,1=没变
mwci,1=每次
mwco,1=没错
mwdc,1=每到
mwdd,1=没带
mwde,1=美德
mwdh,1=每当
mwds,1=没动
mwdu,1=梅毒
mwdm,1=没电
mwfa,1=没法
mwff,1=每份
mwfg,1=每逢
mwfu,1=妹夫
mwge,1=每个
mwgj,1=美感
mwgo,1=美国
mwgr,1=美观
mwgs,1=美工
mwgu,1=每股
mwgv,1=玫瑰
mwgw,1=没给
mwgd,1=明文规定
mwhc,1=美好
mwhh,1=每行
mwho,1=魅惑
mwhu,1=每户
mwhv,1=每回
mwhx,1=梅花
mwhj,1=门外汉
mwic,1=美钞
mwid,1=美差
mwig,1=美称
mwii,1=没吃
mwiz,1=美丑
mwjb,1=没劲
mwji,1=美籍
mwjk,1=美景
mwjm,1=每件
mwjp,1=媒介
mwjq,1=美酒
mwju,1=美剧
mwjx,1=每家
mwjy,1=美味佳肴
mwks,1=没空
mwkj,1=没看
mwkl,1=煤矿
mwli,2=魅力
mwld,1=没来
mwle,1=没了
mwlj,1=霉烂
mwlm,1=没脸
mwlu,1=煤炉
mwmc,1=眉毛
mwmd,1=漫无目的
mwmf,1=没门
mwmg,1=美梦
mwmj,1=美满
mwmk,1=美名
mwml,1=没完没了
mwmn,1=美妙
mwmu,1=眉目
mwmw,1=妹妹
mwng,1=没能
mwnm,1=每年
mwnv,1=美女
mwpm,1=每篇
mwpo,1=媒婆
mwpu,1=没谱
mwqi,1=煤气
mwqm,1=没钱
mwqn,1=勉为其难
mwqq,1=煤球
mwqr,1=没权
mwqu,1=没去
mwrf,1=每人
mwri,1=每日
mwrj,1=美髯
mwrs,1=美容
mwru,1=美乳
mwry,1=渺无人烟
mwse,1=美色
mwsi,1=没死
mwsu,1=媚俗
mwt,1=没问题
mwti,1=媒体
mwtj,1=煤炭
mwtk,1=没听
mwtm,1=每天
mwtn,1=每条
mwtu,1=美图
mwtv,1=美腿
mwtx,1=茫无头绪
mwtz,1=眉头
mwua,1=没啥
mwuc,1=眉梢
mwug,1=美声
mwui,1=没事
mwuj,1=眉山
mwuo,1=没说
mwuu,1=美术
mwuv,1=没睡
mwva,1=煤渣
mwve,1=没辙
mwvi,1=每只
mwvs,1=每种
mwvy,1=没准
#N/A,14=#N/A
mwwd,1=媚外
mwwj,1=每晚
mwww,1=美味
mwwf,1=目无王法
mwxi,1=没戏
mwxb,1=眉心
mwxn,1=媚笑
mwxq,1=没羞
mwxt,1=美学
mwxs,1=面无血色
mwyc,1=没要
mwye,1=每页
mwyh,1=每样
mwyi,1=美意
mwyr,1=美元
mwys,1=没用
mwyt,1=每月
mwyx,1=渺无音信
mwyz,1=没有
mwzi,1=妹子
mwzv,1=目无尊长
mxdc,1=没想到
mxge,1=墨西哥
mxgi,1=墨西哥城
mxhx,1=满心欢喜
mxiv,1=梦想成真
mxkg,1=铭心刻骨
mxmf,1=没心没肺
mxpm,1=明信片
mxqu,1=没兴趣
mxqk,1=没心情
mxrf,1=某些人
mxui,1=每小时
mxuh,1=母系社会
mxvh,1=明细账
mxvd,1=明修栈道
mxwx,1=名下无虚
mxwl,1=面向未来
mxxg,1=毛细血管
mxyz,1=莫须有
mxyl,1=木秀于林
mxyv,1=木秀于林，风必摧之
mxyx,1=命悬一线
mxzi,1=慢性子
mxzw,1=扪心自问
mymo,1=摸一摸
mymr,1=某月某日
mymc,1=没有免费的午餐
mybu,1=每一步
mybw,1=没有把握
myby,1=没有必要
mybf,1=没有办法
mybq,1=没有不透风的墙
mybx,1=没有不散的筵席
mybh,1=贸易保护
mybl,1=贸易壁垒
mybd,1=绵延不断
myci,1=每一次
mydm,1=慢一点
mydr,1=每一段
mydh,1=没有的话
myff,1=每一份
myfm,1=某一方面
myft,1=民怨沸腾
myge,1=每一个
mygs,1=磨洋工
mygr,1=每一个人
mygy,1=没有规矩不成方圆
mygz,1=每一个字
myia,1=母夜叉
myis,1=满园春色
myiv,1=木已成舟
myjm,1=没意见
myjh,1=每一句话
myke,1=每一刻
myle,1=没有了
myly,1=没有理由
mylu,1=沐浴露
myli,1=免疫力
mylv,1=妙语连珠
mynm,1=每一年
myns,1=面有难色
myni,1=贸易逆差
mypd,1=慢一拍
mypi,1=卖淫嫖娼
myql,1=谬以千里
myqy,1=民营企业
myqf,1=明月清风
myr,1=没有人
myrf,1=明眼人
mysi,1=没意思
mysh,1=名扬四海
mysy,1=买一送一
mytm,1=每一天
mytx,1=名扬天下
myuh,1=名义上
myut,1=民以食为天
myui,1=贸易顺差
myvs,1=每一种
myww,1=每一位
mywt,1=没有问题
mywl,1=贸易往来
myxl,1=每一项
myyz,1=慢悠悠
myyy,1=没有意义
myzo,1=牡羊座
mzbu,1=某部
mzci,1=某次
mzds,1=毛泽东
mzdi,1=某地
mzeg,1=满载而归
mzfj,1=谋反
mzgj,1=满足感
mzge,1=某个
mzgl,1=蒙在鼓里
mzhx,1=谋划
mzhd,1=谋害
mziu,1=某处
mzjm,1=某件
mzjf,1=灭自己威风
mzjx,1=某家
mzle,1=满足了
mzli,1=牟利
mzlt,1=谋略
mzme,1=没怎么
mzmm,1=谋面
mzmz,1=某某
mzmw,1=没滋没味
mznm,1=某年
mznj,1=某男
mznv,1=某女
mzpi,1=满嘴跑火车
mzqq,1=谋求
mzqu,1=牟取
mzrf,1=某人
mzri,1=某日
mzsi,1=谋私
mztm,1=某天
mzua,1=谋杀
mzug,1=谋生
mzui,1=谋士
mzvs,1=某种
mzvg,1=弥足珍贵
mzvi,1=谋职
mzww,1=某位
mzxp,1=某些
mzyt,1=某月
mzyu,1=名噪一时
mzz,1=美滋滋
mzzi,1=眸子
n,1=你
nak,1=哪
nm,1=年
ng,1=能
nsdn,1=浓
nsd,1=农
nw,1=内
nju,1=南
nja,1=南
njag,1=南
nj,1=难
na,1=那
nwv,1=那
nv,1=女
nmr,1=念
nk,1=宁
nunl,1=努
nas,1=纳
nar,1=拿
niu,1=尼
nco,1=脑
njt,1=男
ne,1=呢
nikb,1=呢
nwk,1=哪
nq,1=牛
ni,1=泥
noy,1=诺
nb,1=您
nqs,1=纽
nln,1=娘
ndv,1=乃
nkd,1=凝
ndn,1=奶
nqf,1=扭
nde,1=耐
nr,1=暖
nif,1=拟
nc,1=闹
ns,1=弄
nn,1=鸟
no,1=挪
nly,1=酿
nan,1=娜
non,1=娜
nnu,1=尿
ndd,1=奈
niz,1=逆
nf,1=嫩
nh,1=囊
nhu,1=馕
npe,1=聂
nmm,1=粘
nir,1=倪
nu,1=怒
ncx,1=恼
nin,1=妮
nun,1=奴
ncf,1=挠
nt,1=虐
njm,1=楠
nio,1=腻
np,1=捏
nqj,1=钮
nik,1=匿
naj,1=钠
ney,1=讷
nakn,1=呐
nek,1=呐
neke,1=哪
niy,1=霓
nmi,1=辗
nmu,1=碾
npd,1=涅
nkf,1=拧
npj,1=镍
ncw,1=瑙
nid,1=溺
njk,1=喃
ntb,1=疟
nkdd,1=泞
nkm,1=柠
nwu,1=馁
nom,1=糯
nso,1=脓
nnp,1=袅
nsr,1=侬
naf,1=捺
nung,1=弩
nma,1=廿
nmca,1=廿
ncd,1=淖
nifb,1=旎
npc,1=孽
nqfl,1=拗
nox,1=懦
nmfx,1=捻
nha,1=囊
nor,1=傩
ndnv,1=鼐
nmf,1=撵
niob,1=昵
nmfk,1=拈
nkk,1=咛
nmc,1=蔫
nqn,1=妞
nit,1=坭
nkq,1=狞
ndc,1=萘
nmt,1=埝
npcm,1=蘖
nvj,1=钕
npk,1=啮
npz,1=蹑
nij,1=铌
nhuy,1=馕
npky,1=嗫
njkn,1=囡
ndq,1=氖
ncb,1=孬
nok,1=喏
nia,1=鲵
nmak,1=鲇
nct,1=垴
nmfi,1=辇
npzm,1=臬
nhk,1=囔
nho,1=曩
nmh,1=黏
npjy,1=镊
nper,1=颞
nqx,1=忸
nirb,1=伲
nno,1=脲
nkr,1=佞
nsk,1=哝
ncj,1=铙
npv,1=乜
nix,1=怩
nunm,1=驽
nfr,1=恁
njty,1=赧
nioe,1=睨
ndm,1=柰
nap,1=衲
nau,1=南
njo,1=腩
nji,1=蝻
nck,1=呶
nofd,1=搦
ncu,1=硇
ncq,1=猱
nnc,1=茑
nnd,1=溺
ndr,1=佴
naju,1=镎
nao,1=肭
ndcn,1=艿
nci,1=蛲
npet,1=陧
nvx,1=衄
noj,1=锘
nhf,1=攮
niq,1=猊
nke,1=聍
nkb,1=甯
nqq,1=狃
nunz,1=孥
nunr,1=胬
naym,1=乸
nace,1=𦰡
ncqe,1=峱
ncoe,1=臑
ndep,1=耏
nds,1=能
nhzy,1=齉
nie,1=𨺙
nic,1=薿
njc,1=萳
njn,1=婻
nkcd,1=苧
noc,1=𦰡
npem,1=嵲
npm,1=𫔶
nqm,1=杻
nsh,1=秾
nunu,1=砮
nsyn,1=𬪩
nhay,1=囊
nmp,1=年
ngs,1=能
nwld,1=内
njyf,1=难
nwve,1=那
nvv,1=女
nirx,1=你
nmrx,1=念
nkbd,1=宁
nasn,1=纳
niub,1=尼
ncok,1=脑
njtl,1=男
nekb,1=呢
nidb,1=泥
noyk,1=诺
nbr,1=恁
nqsi,1=纽
ndvp,1=乃
nkdr,1=凝
ndnn,1=奶
nqfi,1=扭
ndec,1=耐
nro,1=暖
nifr,1=拟
ncm,1=闹
nsw,1=弄
nnw,1=鸟
nof,1=挪
nlyl,1=酿
nane,1=娜
none,1=娜
nnuu,1=尿
nddx,1=奈
nizp,1=逆
npey,1=聂
nmmk,1=粘
nire,1=倪
nunx,1=怒
ninb,1=妮
nuny,1=奴
ncfw,1=挠
nth,1=虐
njmg,1=楠
nior,1=腻
npf,1=捏
nqji,1=钮
nikk,1=匿
nekn,1=呐
nmin,1=辗
nmun,1=碾
npdt,1=涅
nkfd,1=拧
npjm,1=镍
ncwx,1=瑙
nidd,1=溺
njkg,1=喃
neyn,1=讷
ntba,1=疟
nkmd,1=柠
nwun,1=馁
nome,1=糯
nson,1=脓
nnpy,1=袅
nsrn,1=侬
nafx,1=捺
nmaa,1=廿
ncdu,1=淖
npcz,1=孽
noxe,1=懦
norf,1=傩
nmch,1=蔫
nitb,1=坭
nkqd,1=狞
ndcx,1=萘
nmtx,1=埝
nvjn,1=钕
npkk,1=啮
npzy,1=蹑
nijb,1=铌
ndqn,1=氖
ncbz,1=孬
nokk,1=喏
niae,1=鲵
nctk,1=垴
nhky,1=囔
nhoy,1=曩
nqxi,1=忸
nnou,1=脲
nkrn,1=佞
nskn,1=哝
ncjw,1=铙
npvv,1=乜
nixb,1=怩
nfrx,1=恁
ndmx,1=柰
napn,1=衲
naug,1=南
njog,1=腩
ncky,1=呶
ncux,1=硇
ncqm,1=猱
nncn,1=茑
nndd,1=溺
naon,1=肭
nciw,1=蛲
nvxi,1=衄
nojk,1=锘
nhfy,1=攮
niqe,1=猊
nked,1=聍
nkby,1=甯
niee,1=𨺙
nicr,1=薿
njcg,1=萳
njng,1=婻
noce,1=𦰡
npmm,1=𫔶
nqmi,1=杻
nshn,1=秾
nmpl,1=年
ngsb,1=能
nvva,1=女
nbrx,1=您
nroy,1=暖
ncmj,1=闹
nswc,1=弄
nnwd,1=鸟
nnpa,1=鸟
nofe,1=挪
ntha,1=虐
npft,1=捏
ndsb,1=能
nl,1=努力
nx,1=那些
ny,1=那样
nd,1=难道
nz,1=脑子
nabf,1=那本
nabh,1=那帮
nabm,1=那边
naci,1=那次
nacv,1=纳粹
nadc,1=拿到
nadm,1=那点
nadr,1=那段
naer,1=那儿
naff,1=那份
nage,1=那个
nagj,1=哪敢
nagw,1=拿给
nahc,1=那好
nahd,1=那还
nahj,1=呐喊
nahv,1=拿回
naiu,1=拿出
najm,1=那件
najn,1=那叫
najp,1=那届
najq,1=那就
najx,1=那家
nake,1=那可
nakd,1=拿开
nakk,1=那块
nald,1=拿来
nali,1=那里
name,1=那么
namf,1=纳闷
nami,1=纳米
namo,1=南无
nang,1=哪能
nanm,1=那年
nanp,1=拿捏
napa,1=哪怕
napi,1=那批
napm,1=那篇
naqi,1=拿起
naqp,1=纳妾
naqu,1=拿去
narf,1=那人
naru,1=纳入
nasi,1=那厮
natc,1=那套
natd,1=那台
natm,1=那天
natn,1=那条
naui,1=那时
nauv,1=纳税
nauz,1=拿手
nave,1=拿着
navh,1=那张
navi,1=哪知
navs,1=那种
nawj,1=那晚
naww,1=那位
naxp,1=那些
naxx,1=拿下
naxk,1=那行
nayh,1=那样
nayz,1=哪有
nazz,1=拿走
nbe,1=尼泊尔
nber,1=诺贝尔
nbej,1=诺贝尔奖
nbgo,1=拗不过
nbh,1=弄不好
nbhc,1=您好
nbhh,1=牛逼哄哄
nbht,1=牛不喝水强按头
nbhj,1=捏把汗
nbig,1=难不成
nbiu,1=拿不出手
nbjq,1=那不就
nbju,1=那不就是
nbke,1=怒不可遏
nblu,1=鸟不拉屎
nbmb,1=弄不明白
nbqi,1=弄不清楚
nbng,1=能不能
nbnv,1=女扮男装
nbqq,1=南半球
nbry,1=你不仁我不义
nbui,1=那不是
nbvu,1=耐不住
nbvy,1=拿不准
nbzi,1=牛鼻子
ncbu,1=脑部
nccj,1=脑残
ncdd,1=脑袋
ncde,1=闹得
ncfj,1=闹翻
ncgv,1=闹鬼
ncgx,1=脑瓜
ncgj,1=脑干
nchd,1=脑海
nchf,1=恼恨
ncho,1=恼火
nchz,1=脑后
nciu,1=闹出
ncjb,1=脑筋
ncju,1=闹剧
ncjl,1=闹僵
ncke,1=脑壳
ncle,1=弄错了
ncli,1=脑力
nclk,1=闹铃
nclu,1=瑙鲁
ncmf,1=脑门
ncmo,1=脑膜
ncnu,1=恼怒
ncnm,1=男才女貌
ncqj,1=难辞其咎
ncrf,1=恼人
ncs,1=女厕所
ncsv,1=脑髓
ncso,1=男厕所
nctg,1=闹腾
nctz,1=挠头
ncui,1=闹事
ncvs,1=闹钟
ncve,1=闹着
ncxb,1=闹心
ncxq,1=怒从心头起
ncyh,1=挠痒
nczi,1=脑子
ndbo,1=脑电波
ndbd,1=那倒不一定
nddh,1=男大当婚
nddj,1=女大当嫁
ndff,1=奶粉
ndfj,1=耐烦
ndhe,1=奈何
ndhj,1=耐寒
ndho,1=耐火
